,city,n_tech_jobs,lat,lng,postdate_timespan,prevalent_job_type,size,color
209,"Carlsbad, CA",13.0,29.704,-95.4621,3,other,12.755847953216374,1.0
210,"Carlstadt, NJ",1.0,40.7452,-74.0281,3,other,10.211988304093568,1.0
211,"Carmel, IN",3.0,44.9635,-93.2678,3,other,10.635964912280702,1.0
212,"Carrollton, TX",12.0,32.989,-96.8999,3,other,12.543859649122806,1.0
213,"Carson City, NV",3.0,47.6211,-122.3244,3,other,10.635964912280702,1.0
214,"Carteret, NJ",1.0,40.4166,-105.0623,3,ai,10.211988304093568,1.0
215,"Cartersville, GA",1.0,33.7628,-84.422,3,security,10.211988304093568,1.0
216,"Cary, IL",1.0,43.0642,-87.9675,3,other,10.211988304093568,1.0
217,"Cary, NC",17.0,30.3005,-97.7522,3,other,13.603801169590643,1.0
218,"Castle Rock, CO",3.0,40.7824,-73.4088,3,other,10.635964912280702,1.0
219,"Cedar Knolls, NJ",3.0,41.0332,-74.1333,3,other,10.635964912280702,1.0
220,"Cedar Rapids, IA",10.0,47.6211,-122.3244,3,other,12.119883040935672,1.0
221,"Centennial, CO",9.0,33.5279,-86.7971,3,other,11.907894736842104,1.0
222,"Center Valley, PA",4.0,32.7935,-96.7667,3,other,10.847953216374268,1.0
223,"Centerbrook, CT",1.0,,,3,other,10.211988304093568,1.0
224,"Centerville, OH",1.0,37.7624,-121.9365,3,other,10.211988304093568,1.0
225,Central,1.0,36.1715,-86.7842,3,other,10.211988304093568,1.0
226,"Centreville, VA",1.0,37.6538,-122.4196,3,other,10.211988304093568,1.0
227,"Century City, CA",5.0,37.3836,-122.0255,3,other,11.059941520467836,1.0
228,"Cerritos, CA",1.0,29.786,-95.3885,3,security,10.211988304093568,1.0
229,"Champaign, IL",3.0,39.1413,-84.506,3,other,10.635964912280702,1.0
230,Chandigarh,2.0,38.9047,-77.0163,3,other,10.423976608187134,1.0
231,"Chandler, AZ",7.0,33.2825,-111.8514,3,other,11.48391812865497,1.0
232,"Chanhassen, MN",1.0,42.2759,-83.731,3,other,10.211988304093568,1.0
233,"Chantilly, VA",38.0,39.1346,-77.2131,3,other,18.055555555555557,1.0
234,"Charles Town, WV",1.0,38.9497,-77.3461,3,web,10.211988304093568,1.0
235,"Charleston, SC",4.0,41.8375,-87.6866,3,other,10.847953216374268,1.0
236,"Charlestown, MA",4.0,,,3,other,10.847953216374268,1.0
237,"Charlotte, NC",99.0,35.2083,-80.8303,3,other,30.986842105263158,1.0
238,"Charlottesville, VA",4.0,37.3012,-121.848,3,other,10.847953216374268,1.0
239,"Chaska, MN",2.0,40.7184,-74.0686,3,ai,10.423976608187134,1.0
240,"Chatsworth, CA",1.0,38.9699,-77.3867,3,other,10.211988304093568,1.0
241,"Chattanooga, TN",7.0,38.9497,-77.3461,3,other,11.48391812865497,1.0
242,"Cheaspeak, VA",1.0,38.7479,-77.4838,3,other,10.211988304093568,1.0
243,"Cheektowaga, NY",3.0,37.3646,-121.968,3,other,10.635964912280702,1.0
244,"Chelmsford, MA",8.0,37.7558,-122.4449,3,other,11.695906432748538,1.0
245,"Chelsea, MA",2.0,42.3959,-71.0325,3,managment,10.423976608187134,1.0
246,Cherry Hill,1.0,38.8786,-77.1011,3,other,10.211988304093568,1.0
247,"Cherry Hill, NJ",17.0,39.9361,-75.1073,3,other,13.603801169590643,1.0
248,"Chesapeake, VA",1.0,37.6663,-121.8805,3,other,10.211988304093568,1.0
